132.243.161.215:2053#CH [228.28ms 3.59Mbps]
37.128.204.20:443#LV [228.74ms 0.29Mbps]
37.221.210.113:8443#HU [229.12ms 0.23Mbps]
82.40.38.216:443#PL [229.2ms 0.11Mbps]
148.253.211.51:443#SE [229.65ms 0.18Mbps]
213.134.31.144:8443#PL [229.71ms 0.2Mbps]
185.175.58.196:443#AT [230.19ms 3.18Mbps]
45.66.11.133:8443#PL [230.22ms 0.54Mbps]
193.124.56.89:443#CZ [230.36ms 0.24Mbps]
87.236.146.203:8443#CZ [230.5ms 3.95Mbps]
62.182.193.24:443#SE [231.03ms 3.47Mbps]
195.123.212.222:8443#LV [231.29ms 0.21Mbps]
163.5.153.228:2053#FI [231.4ms 0.28Mbps]
130.61.12.163:443#Unknown [231.5ms 0.0Mbps]
195.123.210.147:443#LV [231.96ms 0.17Mbps]
92.61.71.90:8443#CZ [232.25ms 0.22Mbps]
178.214.211.99:443#RO [233.31ms 3.82Mbps]
138.124.250.94:443#SE [234.06ms 0.26Mbps]
185.153.198.86:443#MD [234.28ms 0.09Mbps]
195.135.253.236:8443#LV [234.38ms 0.32Mbps]
193.124.57.24:2053#CZ [234.4ms 3.27Mbps]
2.26.147.71:8443#FI [234.74ms 0.08Mbps]
194.53.54.226:8443#FI [234.75ms 3.88Mbps]
45.144.53.206:443#FI [235.13ms 0.85Mbps]
5.34.211.35:443#LV [235.32ms 2.43Mbps]
45.142.212.24:443#PL [235.97ms 2.99Mbps]
193.181.213.53:443#DK [236.26ms 3.69Mbps]
194.226.20.225:443#RU [236.73ms 0.43Mbps]
94.242.59.208:443#SE [236.79ms 0.44Mbps]
213.165.59.108:443#FI [236.85ms 4.18Mbps]
38.180.108.148:443#HU [236.87ms 0.52Mbps]
80.211.27.249:443#IT [236.94ms 0.15Mbps]
45.90.56.41:443#CH [237.04ms 0.13Mbps]
5.181.202.75:443#EE [237.23ms 0.21Mbps]
82.38.65.242:2087#PL [237.6ms 0.83Mbps]
31.169.126.66:8443#PL [237.83ms 0.15Mbps]
193.124.56.99:443#CZ [237.91ms 0.24Mbps]
31.24.251.152:2053#RU [238.07ms 2.26Mbps]
62.182.197.18:443#SE [238.08ms 0.24Mbps]
89.110.89.229:8443#RU [238.57ms 2.62Mbps]
46.36.217.167:443#EE [239.3ms 0.1Mbps]
130.195.222.215:443#AT [239.41ms 0.16Mbps]
138.124.20.162:8443#PL [240.85ms 3.03Mbps]
45.153.48.157:443#DK [241.72ms 3.5Mbps]
5.45.127.148:8443#EE [241.78ms 0.32Mbps]
213.226.124.66:443#RU [241.81ms 0.32Mbps]
162.141.93.191:8443#ES [241.88ms 0.19Mbps]
92.113.149.70:443#DK [242.12ms 1.76Mbps]
5.101.116.108:443#EE [242.55ms 1.66Mbps]
5.101.180.19:8443#EE [242.86ms 0.66Mbps]
82.97.242.233:443#RU [243.21ms 0.29Mbps]
84.252.100.83:443#RU [243.57ms 2.82Mbps]
188.240.213.98:2053#KG [243.85ms 0.35Mbps]
46.36.216.81:8443#EE [244.29ms 2.72Mbps]
5.45.127.87:8443#EE [244.3ms 0.23Mbps]
213.155.119.28:443#TR [244.54ms 0.1Mbps]
212.60.4.134:443#BY [244.56ms 0.17Mbps]
45.13.38.36:2053#RO [244.99ms 0.22Mbps]
82.97.250.146:443#RU [245.42ms 0.25Mbps]
83.147.255.88:443#RU [246.37ms 2.59Mbps]
